datetime,clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
2020-01-01,2,2020-01-01,-4.3,27,230,99,92,773,427,5,1577854800,1.8,266,7.6,1577880000,1.7,1577937600,0,0,1008,final,56.4,1008,0,0,56,639,5510,2378,1334,3.6,1577854800,266,11.2,4.8
2020-01-02,2,2020-01-02,-2.4,27,230,100,92,774,429,8.9,1577991600,2.2,262,5.8,1577984400,0.6,1577966400,0,0,1013,final,60.4,1013,0,0,69,640,5524,2390,1660,4.8,1577941200,262,19.7,3.4
2020-01-03,2,2020-01-03,5,27,231,100,92,775,431,8.3,1578092400,0.7,255,4.5,1578031200,6.7,1578063600,4,4,1010,final,84,1010,0,0,19,642,5539,2403,457,7.6,1578027600,255,4.4,2.3
2020-01-04,2,2020-01-04,7.1,27,231,101,92,776,432,9.4,1578182400,0.7,179,6.7,1578168000,5.8,1578196800,4,4,1003,final,92.9,1003,0,0,10,644,5556,2417,242,8.2,1578114000,179,10.8,1.8
2020-01-05,2,2020-01-05,-4.5,27,232,101,92,777,434,7.2,1578254400,1.8,276,11.2,1578222000,2.8,1578283200,0.5,0.5,1010,final,52.1,1010,0,0,87,646,5573,2432,2090,4.6,1578200400,276,18,2.3
2020-01-06,2,2020-01-06,-1.9,27,233,102,92,778,436,7.2,1578340800,2.2,257,7.2,1578333600,0.6,1578294000,0.5,0.5,1015,final,67.7,1015,3.5,2.7,93,649,5591,2448,2220,3.9,1578286800,257,16.5,4.4
2020-01-07,2,2020-01-07,-3.2,27,234,103,93,779,439,6.7,1578423600,1.1,195,7.2,1578373200,3,1578452400,0.5,0.5,1016,final,57.5,1016,0,0,47,651,5609,2465,1135,4.7,1578373200,195,7.2,2.8
2020-01-08,2,2020-01-08,-4.8,27,235,103,93,781,441,6.7,1578510000,2.2,262,9.4,1578492000,-1,1578542400,0,0,1016,final,61,1016,0,0,94,653,5629,2483,2259,2.5,1578459600,262,14.9,3.7
2020-01-09,2,2020-01-09,-10.7,27,235,104,93,782,444,2.2,1578596400,2.3,244,7.6,1578628800,-3.3,1578567600,0,0,1038,final,47.1,1038,0,0,101,656,5650,2503,2419,-0.5,1578546000,244,17.5,2.5
2020-01-10,2,2020-01-10,1.9,27,236,105,93,783,446,11.7,1578686400,1.4,267,6.3,1578686400,1.1,1578632400,0,0,1034,final,72,1034,0,0,51,658,5671,2523,1221,6.6,1578632400,267,18,4
2020-01-11,2,2020-01-11,9.9,28,237,106,94,785,449,18.3,1578769200,0.8,270,6.7,1578765600,11.1,1578718800,0,0,1023,final,72.8,1023,0,0,31,661,5693,2544,750,14.8,1578718800,270,12.4,4.4
2020-01-12,2,2020-01-12,7.5,28,238,107,94,786,452,19.4,1578855600,1.9,262,9.8,1578837600,9,1578888000,6,6,1018,final,61.2,1018,0,0,86,664,5716,2566,2073,15.6,1578805200,262,23.6,4.3
2020-01-13,2,2020-01-13,2,28,239,108,94,788,455,8.9,1578891600,0.8,88,6.3,1578902400,3.9,1578909600,0,0,1029,final,73.5,1029,0,0,20,667,5739,2589,492,6.4,1578891600,88,6.9,2.9
2020-01-14,2,2020-01-14,3.7,28,240,109,94,789,458,7.8,1579028400,0.8,66,5.4,1579032000,5,1578999600,4.5,4.5,1025,final,83.6,1025,0,0,21,670,5764,2613,493,6.3,1578978000,66,5.2,2.7
2020-01-15,2,2020-01-15,2.7,28,241,110,95,791,461,11.7,1579114800,2.5,244,5.8,1579107600,6.1,1579078800,0,0,1020,final,70.2,1020,0,0,106,673,5788,2638,2544,8.3,1579064400,244,9.3,2.6
2020-01-16,2,2020-01-16,0.4,28,242,111,95,793,464,10,1579194000,1.9,285,9.8,1579179600,2.2,1579233600,3.5,3.5,1015,final,66.5,1015,0,0,103,676,5814,2664,2469,6.6,1579150800,285,16,2.9
2020-01-17,2,2020-01-17,-12.2,28,243,112,95,794,468,2.2,1579237200,2.6,278,10.7,1579266000,-4.3,1579320000,0,0,1035,final,43.6,1035,0,0,112,680,5840,2690,2690,-1.3,1579237200,278,15.6,2.4
2020-01-18,2,2020-01-18,-7.4,28,244,113,95,796,471,3,1579402800,0.8,182,7.6,1579366800,-5,1579348800,9.5,9.5,1028,final,69.1,1028,71,0,28,683,5866,2718,671,-2.1,1579323600,182,10.8,2.8
2020-01-19,2,2020-01-19,-2.4,29,246,114,96,798,475,7.2,1579453200,2.3,263,7.6,1579417200,-0.3,1579492800,0.5,0.5,1009,final,65.7,1009,0,43,78,687,5893,2747,1874,3.9,1579410000,263,11.6,3
2020-01-20,2,2020-01-20,-11.9,29,247,116,96,800,479,2.8,1579550400,2.7,251,8.1,1579561200,-5,1579521600,0,0,1024,final,47.6,1024,0,0,116,690,5921,2776,2776,-1.8,1579496400,251,19.6,2.5
2020-01-21,2,2020-01-21,-9.7,29,248,117,96,801,482,3.3,1579633200,2.5,161,5.8,1579633200,-4.4,1579582800,0,0,1030,final,54.6,1030,0,0,109,694,5949,2806,2616,-1.4,1579582800,161,16,2.5
2020-01-22,2,2020-01-22,-6.8,29,249,118,97,803,486,5.6,1579723200,2.7,243,3.4,1579698000,-2.2,1579683600,0,0,1031,final,56.9,1031,0,0,118,697,5977,2838,2838,1,1579669200,243,21.6,2.3
2020-01-23,2,2020-01-23,-4.1,29,250,120,97,805,490,7.2,1579809600,0.9,252,3.1,1579766400,0,1579773600,0,0,1029,final,58.7,1029,0,0,31,702,6006,2870,745,3.5,1579755600,252,4.8,2.2
2020-01-24,2,2020-01-24,-2,29,251,121,97,807,495,11.7,1579892400,1.9,105,6.2,1579917600,3.3,1579852800,0,0,1027,final,56.2,1027,0,0,68,708,6035,2903,1624,6.5,1579842000,105,10.9,3.1
2020-01-25,2,2020-01-25,4.7,30,253,122,98,809,499,11,1579986000,0.9,111,9.1,1579964400,4.4,1579939200,25.5,25.5,1014,final,87.3,1014,0,0,23,713,6069,2937,558,6.6,1579928400,111,15.6,6.3
2020-01-26,2,2020-01-26,0,30,254,124,98,811,503,8.9,1580065200,2.4,261,6.2,1580083200,3.3,1580040000,0,0,1009,final,69.6,1009,0,0,106,719,6106,2972,2539,5.4,1580014800,261,10.1,4.1
2020-01-27,2,2020-01-27,-1.5,30,256,125,98,813,508,8.3,1580158800,1.8,262,4.5,1580133600,3.3,1580104800,0,0,1006,final,62.9,1006,0,0,86,725,6145,3008,2065,5.1,1580101200,262,26.3,4
2020-01-28,2,2020-01-28,-3.2,30,258,127,99,815,512,7.2,1580230800,1.3,251,6.7,1580220000,3.9,1580216400,0,0,1010,final,56.2,1010,0,0,57,731,6187,3045,1362,4.9,1580187600,251,21.6,2
2020-01-29,2,2020-01-29,-6.5,31,260,128,99,817,517,7.2,1580328000,3,228,6.3,1580353200,1.1,1580302800,0,0,1018,final,48.3,1018,0,0,128,736,6230,3083,3083,3.5,1580274000,228,9.6,2.2
2020-01-30,2,2020-01-30,-5.7,31,261,130,99,819,521,4.4,1580414400,1.4,85,5.8,1580385600,-1.7,1580382000,0,0,1026,final,60.2,1026,0,0,81,742,6275,3122,1946,1.3,1580360400,85,19,3
2020-01-31,2,2020-01-31,0.2,31,263,132,100,821,526,6.1,1580500800,1.3,59,3.6,1580515200,2.2,1580464800,0.5,0.5,1025,final,74.6,1025,0,0,52,748,6320,3162,1242,4.3,1580446800,59,14.1,2.1
2020-02-01,2,2020-02-01,2.2,31,265,133,100,823,531,6.1,1580601600,1,189,3.6,1580576400,3.9,1580558400,0,0,1013,final,83.4,1013,0,0,19,753,6365,3202,448,4.8,1580533200,189,18,2.5
2020-02-02,2,2020-02-02,0.4,32,267,135,100,825,536,6.1,1580670000,1.3,254,8.1,1580677200,2.2,1580698800,0.5,0.5,1002,final,78.7,1002,0,0,55,759,6410,3243,1309,3.9,1580619600,254,9.3,3.5
2020-02-03,2,2020-02-03,2.1,32,269,137,101,827,541,13.9,1580763600,2.5,237,6.3,1580767200,2.8,1580706000,0,0,1009,final,67.9,1009,0,0,133,765,6456,3286,3202,8.1,1580706000,237,18.5,3.1
2020-02-04,2,2020-02-04,5.6,32,271,139,101,829,546,13.9,1580860800,1,170,4,1580814000,6.1,1580817600,2.5,2.5,1009,final,77.3,1009,0,0,34,770,6501,3328,821,9.4,1580792400,170,6.8,2.3
2020-02-05,2,2020-02-05,-0.6,32,273,140,101,831,551,11,1580878800,1,49,6.3,1580961600,4.4,1580954400,1,1,1015,final,64.2,1015,0,0,35,776,6546,3372,843,5.9,1580878800,49,10.4,3
2020-02-06,2,2020-02-06,3.3,33,275,142,102,833,556,6,1580997600,1,43,6.7,1580990400,3,1580968800,16,16,1003,final,90.7,1003,0,0,21,781,6590,3416,512,4.7,1580965200,43,9.7,5
2020-02-07,2,2020-02-07,2,33,276,144,102,835,561,12.2,1581091200,1.2,176,10.7,1581094800,1.3,1581134400,14,14,990,final,80.4,990,0,0,50,787,6635,3461,1196,5.4,1581051600,176,18.8,5.6
2020-02-08,2,2020-02-08,-6.8,33,278,146,103,837,567,6.1,1581192000,1.5,257,8.1,1581184800,0,1581148800,0,0,1020,final,50.3,1020,0,0,80,792,6678,3506,1922,2.6,1581138000,257,12.9,4
